date,variable,strat,type,median,mean,sd,upper,lower,bottom,top
2020-05-02,reported_cases,NA,positivity-adjusted reported cases,6.5,8,7.781095973283876,7,0,0,15
2020-05-03,reported_cases,NA,positivity-adjusted reported cases,1.5,4.333333333333333,6.020168124099546,3,0,0,9
2020-05-04,reported_cases,NA,positivity-adjusted reported cases,6.5,10.416666666666666,17.484841920065993,8,0,0,12
2020-05-05,reported_cases,NA,positivity-adjusted reported cases,11,15.333333333333334,14.297700599195748,12,0,0,33
2020-05-06,reported_cases,NA,positivity-adjusted reported cases,6.5,7.583333333333333,7.645061785032852,8,2,0,15
2020-05-07,reported_cases,NA,positivity-adjusted reported cases,3.5,4.333333333333333,4.458563432181702,6,0,0,10
2020-05-08,reported_cases,NA,positivity-adjusted reported cases,5.5,8.916666666666666,8.596599045640966,8,0,0,23
2020-05-09,reported_cases,NA,positivity-adjusted reported cases,6.5,8.916666666666666,9.985975013472494,8,0,0,21
2020-05-10,reported_cases,NA,positivity-adjusted reported cases,6,6.583333333333333,7.051219537760612,6,0,0,12
2020-05-11,reported_cases,NA,positivity-adjusted reported cases,9,9,5.608435205522611,9,1,1,16
2020-05-12,reported_cases,NA,positivity-adjusted reported cases,6.5,10.583333333333334,12.38370140975874,7,0,0,21
2020-05-13,reported_cases,NA,positivity-adjusted reported cases,5.5,8.083333333333334,10.621233735334425,6,0,0,16
2020-05-14,reported_cases,NA,positivity-adjusted reported cases,10,10.166666666666666,10.38209414269967,14,0,0,22
2020-05-15,reported_cases,NA,positivity-adjusted reported cases,7,21.916666666666668,26.75633598143653,8,0,0,63
2020-05-16,reported_cases,NA,positivity-adjusted reported cases,6.5,7.75,8.986100377805714,8,0,0,15
2020-05-17,reported_cases,NA,positivity-adjusted reported cases,4,9.333333333333334,11.672293015617122,5,1,1,25
2020-05-18,reported_cases,NA,positivity-adjusted reported cases,11,13.333333333333334,11.964594232631342,14,0,0,26
2020-05-19,reported_cases,NA,positivity-adjusted reported cases,13.5,39.5,72.0056815940116,16,4,0,100
2020-05-20,reported_cases,NA,positivity-adjusted reported cases,10,18.5,29.209276235158892,10,5,0,31
2020-05-21,reported_cases,NA,positivity-adjusted reported cases,2,5.166666666666667,6.492419822494163,3,0,0,16
2020-05-22,reported_cases,NA,positivity-adjusted reported cases,6.5,8.5,9.366283826965352,9,0,0,23
2020-05-23,reported_cases,NA,positivity-adjusted reported cases,8,14.583333333333334,24.629835319765903,8,1,0,18
2020-05-24,reported_cases,NA,positivity-adjusted reported cases,6.5,10.916666666666666,14.431394648998811,7,0,0,36
2020-05-25,reported_cases,NA,positivity-adjusted reported cases,10.5,838.3333333333334,2832.2556809766033,16,4,0,150
2020-05-26,reported_cases,NA,positivity-adjusted reported cases,6.5,173.33333333333334,463.10441260011436,7,0,0,406
2020-05-27,reported_cases,NA,positivity-adjusted reported cases,8,93.58333333333333,281.29391239682946,9,0,0,37
2020-05-28,reported_cases,NA,positivity-adjusted reported cases,2.5,5.333333333333333,6.840166576032983,4,0,0,18
2020-05-29,reported_cases,NA,positivity-adjusted reported cases,4,40,114.05102526341604,6,0,0,24
2020-05-30,reported_cases,NA,positivity-adjusted reported cases,3.5,9.25,16.153384109276242,5,0,0,16
2020-05-31,reported_cases,NA,positivity-adjusted reported cases,2.5,8.166666666666666,14.04430219848691,3,0,0,21
2020-06-01,reported_cases,NA,positivity-adjusted reported cases,7,16.916666666666668,36.08187238976818,7,0,0,17
2020-06-02,reported_cases,NA,positivity-adjusted reported cases,5.5,15.083333333333334,30.158545700810553,7,2,0,32
2020-06-03,reported_cases,NA,positivity-adjusted reported cases,2.5,24.416666666666668,66.72529618904026,4,0,0,25
2020-06-04,reported_cases,NA,positivity-adjusted reported cases,5.5,224.83333333333334,760.2872463547557,7,0,0,20
2020-06-05,reported_cases,NA,positivity-adjusted reported cases,5.5,139.91666666666666,401.67998531923473,7,0,0,206
2020-06-06,reported_cases,NA,positivity-adjusted reported cases,8,34.333333333333336,55.45732730230652,9,0,0,112
2020-06-07,reported_cases,NA,positivity-adjusted reported cases,4,30.916666666666668,89.66448403336572,4,0,0,21
2020-06-08,reported_cases,NA,positivity-adjusted reported cases,6.5,877.5,2139.595607500717,7,0,0,1913
2020-06-09,reported_cases,NA,positivity-adjusted reported cases,8,119.08333333333333,211.60274028700502,8,0,0,501
2020-06-10,reported_cases,NA,positivity-adjusted reported cases,1,4.75,9.10669084694425,1,0,0,16
2020-06-11,reported_cases,NA,positivity-adjusted reported cases,3,19.5,41.58999005442623,4,0,0,68
2020-06-12,reported_cases,NA,positivity-adjusted reported cases,5,9.083333333333334,15.779493789169038,5,0,0,17
2020-06-13,reported_cases,NA,positivity-adjusted reported cases,4,745.25,2506.629759258435,5,0,0,193
2020-06-14,reported_cases,NA,positivity-adjusted reported cases,0.5,4.083333333333333,7.292067088572514,1,0,0,13
2020-06-15,reported_cases,NA,positivity-adjusted reported cases,6.5,5149.333333333333,17494.72093016183,8,0,0,1010
2020-06-16,reported_cases,NA,positivity-adjusted reported cases,11.5,34.666666666666664,65.5859371474949,15,0,0,53
2020-06-17,reported_cases,NA,positivity-adjusted reported cases,15,186.83333333333334,497.2672289319868,16,0,0,244
2020-06-18,reported_cases,NA,positivity-adjusted reported cases,14.5,4735.083333333333,16304.96116054772,16,0,0,197
2020-06-19,reported_cases,NA,positivity-adjusted reported cases,2.5,2066.6666666666665,7132.382227728983,5,0,0,26
2020-06-20,reported_cases,NA,positivity-adjusted reported cases,22.5,4081.0833333333335,13988.292770341486,27,0,0,317
2020-06-21,reported_cases,NA,positivity-adjusted reported cases,3,8.25,11.298632258335116,4,0,0,29
2020-06-22,reported_cases,NA,positivity-adjusted reported cases,8,33.833333333333336,78.24185503161259,10,0,0,57
2020-06-23,reported_cases,NA,positivity-adjusted reported cases,19.5,25.333333333333332,30.606990684937955,21,0,0,53
2020-06-24,reported_cases,NA,positivity-adjusted reported cases,19,822,2285.1342112962125,20,0,0,1523
2020-06-25,reported_cases,NA,positivity-adjusted reported cases,13,26.333333333333332,34.423388807171456,22,0,0,51
2020-06-26,reported_cases,NA,positivity-adjusted reported cases,35,300.3333333333333,804.0269481387631,38,0,0,517
2020-06-27,reported_cases,NA,positivity-adjusted reported cases,36,137,312.37186463921785,47,0,0,204
2020-06-28,reported_cases,NA,positivity-adjusted reported cases,35.5,1360.3333333333333,4549.8870981663495,42,0,0,286
2020-06-29,reported_cases,NA,positivity-adjusted reported cases,30,8678.583333333334,29934.71215361352,38,0,0,102
2020-06-30,reported_cases,NA,positivity-adjusted reported cases,18,34.916666666666664,45.68958173137372,26,0,0,96
2020-07-01,reported_cases,NA,positivity-adjusted reported cases,66,107.5,167.79668433174498,70,0,0,264
2020-07-02,reported_cases,NA,positivity-adjusted reported cases,71,12790.416666666666,40108.72156449117,83,0,0,10270
2020-07-03,reported_cases,NA,positivity-adjusted reported cases,48,318,816.7068017348698,56,0,0,312
2020-07-04,reported_cases,NA,positivity-adjusted reported cases,42.5,192.25,462.48363607414655,62,0,0,330
2020-07-05,reported_cases,NA,positivity-adjusted reported cases,81.5,5477.916666666667,18629.15500186021,108,0,0,467
2020-07-06,reported_cases,NA,positivity-adjusted reported cases,54,5621.083333333333,17613.78911513432,90,0,0,5433
2020-07-07,reported_cases,NA,positivity-adjusted reported cases,155,1855.9166666666667,5233.739050331961,173,0,0,2781
2020-07-08,reported_cases,NA,positivity-adjusted reported cases,91.5,26607.833333333332,91845.71492239615,132,0,0,243
2020-07-09,reported_cases,NA,positivity-adjusted reported cases,113,32751.666666666668,111701.2129317504,157,0,0,4488
2020-07-10,reported_cases,NA,positivity-adjusted reported cases,180.5,2526.3333333333335,6476.3893887838085,207,0,0,6560
2020-07-11,reported_cases,NA,positivity-adjusted reported cases,154.5,3766.4166666666665,12493.918051001916,175,0,0,665
2020-07-12,reported_cases,NA,positivity-adjusted reported cases,156.5,23144,78861.98538067513,174,0,0,2530
2020-07-13,reported_cases,NA,positivity-adjusted reported cases,146.5,1759392.25,6094044.024051205,227,0,0,920
2020-07-14,reported_cases,NA,positivity-adjusted reported cases,131,371.6666666666667,812.3122253882133,133,0,0,682
2020-07-15,reported_cases,NA,positivity-adjusted reported cases,202.5,276.5833333333333,354.35741031114935,266,0,0,711
2020-07-16,reported_cases,NA,positivity-adjusted reported cases,162.5,18569.916666666668,63458.584139519095,191,0,0,920
2020-07-17,reported_cases,NA,positivity-adjusted reported cases,388,255539,794718.8982368088,420,0,0,10270
2020-07-18,reported_cases,NA,positivity-adjusted reported cases,308.5,53556.666666666664,181970.72650308514,365,0,0,7732
2020-07-19,reported_cases,NA,positivity-adjusted reported cases,229,419.4166666666667,705.7460859819117,233,0,0,984
2020-07-20,reported_cases,NA,positivity-adjusted reported cases,107.5,489638.4166666667,1684375.0610387689,138,0,0,10270
2020-07-21,reported_cases,NA,positivity-adjusted reported cases,110.5,306929,1062278.4825368193,119,0,0,1274
2020-07-22,reported_cases,NA,positivity-adjusted reported cases,265,42013.833333333336,144607.3574928351,342,0,0,810
2020-07-23,reported_cases,NA,positivity-adjusted reported cases,488,4392.416666666667,12532.126551448288,537,0,0,4293
